Wl,Ex.1 ,Ex.2,Ex.3,Ex.4,Ex.5,Ex.6,Ex.7,Ex.8
572,0.057097007,0.025650401,0.017160586,0.016909863,0.187414105,0.831572147,0.017160586,0.997164793
573,0.056570025,0.025686077,0.017160586,0.017279102,0.166132415,0.751413886,0.017160586,0.997174991
574,0.056043043,0.025721753,0.017160586,0.01764834,0.144850726,0.671255625,0.017160586,0.99718519
575,0.055516061,0.025757429,0.017160586,0.018017579,0.123569036,0.591097364,0.017160586,0.997195389
576,0.054989079,0.025793105,0.017160586,0.018386817,0.102287346,0.510939103,0.017160586,0.997205587
577,0.054462097,0.025828781,0.017160586,0.018756056,0.081005656,0.430780842,0.017160586,0.997215786
578,0.053935115,0.025864457,0.017160586,0.019125295,0.059723966,0.350622581,0.017160586,0.997225985
579,0.053408133,0.025900134,0.017160586,0.019494533,0.038442276,0.27046432,0.017160586,0.997236183
580,0.052881151,0.02593581,0.017160586,0.019863772,0.017160586,0.190306059,0.017160586,0.997246382
581,0.052785832,0.025563515,0.017160586,0.018330399,0.017160586,0.18164461,0.017160586,0.997251073
582,0.052690512,0.025191219,0.017160586,0.016797026,0.017160586,0.172983162,0.017160586,0.997255764
583,0.052595192,0.024818924,0.017160586,0.015263652,0.017160586,0.164321713,0.017160586,0.997260456
584,0.052499872,0.024446629,0.017160586,0.013730279,0.017160586,0.155660264,0.017160586,0.997265147
585,0.052404553,0.024074334,0.017160586,0.012196906,0.017160586,0.146998815,0.017160586,0.997269838
586,0.052309233,0.023702039,0.017160586,0.010663533,0.017160586,0.138337366,0.017160586,0.997274529
587,0.052213913,0.023329744,0.017160586,0.00913016,0.017160586,0.129675917,0.017160586,0.99727922
588,0.052118593,0.022957449,0.017160586,0.007596786,0.017160586,0.121014468,0.017160586,0.997283911
589,0.052023274,0.022585153,0.017160586,0.006063413,0.017160586,0.112353019,0.017160586,0.997288602
590,0.051927954,0.022212858,0.017160586,0.00453004,0.017160586,0.10369157,0.017160586,0.997293293
591,0.0513614,0.023416006,0.017160586,0.004287169,0.017160586,0.097210512,0.017160586,0.99730836
592,0.050794845,0.024619153,0.017160586,0.004044299,0.017160586,0.090729455,0.017160586,0.997323427
593,0.050228291,0.0258223,0.017160586,0.003801428,0.017160586,0.084248397,0.017160586,0.997338494
594,0.049661736,0.027025447,0.017160586,0.003558558,0.017160586,0.077767339,0.017160586,0.99735356
595,0.049095182,0.028228595,0.017160586,0.003315687,0.017160586,0.071286281,0.017160586,0.997368627
596,0.048528628,0.029431742,0.017160586,0.003072816,0.017160586,0.064805223,0.017160586,0.997383694
597,0.047962073,0.030634889,0.017160586,0.002829946,0.017160586,0.058324165,0.017160586,0.997398761
598,0.047395519,0.031838037,0.017160586,0.002587075,0.017160586,0.051843107,0.017160586,0.997413827
599,0.046828964,0.033041184,0.017160586,0.002344205,0.017160586,0.045362049,0.017160586,0.997428894
600,0.04626241,0.034244331,0.017160586,0.002101334,0.017160586,0.038880991,0.017160586,0.997443961
601,0.04774401,0.036044032,0.017160586,0.002643052,0.017160586,0.036365118,0.017160586,0.997452632
602,0.049225609,0.037843732,0.017160586,0.00318477,0.017160586,0.033849244,0.017160586,0.997461303
603,0.050707209,0.039643432,0.017160586,0.003726487,0.017160586,0.03133337,0.017160586,0.997469974
604,0.052188809,0.041443133,0.017160586,0.004268205,0.017160586,0.028817497,0.017160586,0.997478645
605,0.053670408,0.043242833,0.017160586,0.004809923,0.017160586,0.026301623,0.017160586,0.997487317
606,0.055152008,0.045042533,0.017160586,0.005351641,0.017160586,0.023785749,0.017160586,0.997495988
607,0.056633608,0.046842234,0.017160586,0.005893358,0.017160586,0.021269876,0.017160586,0.997504659
